,sigma,optimizer,seed,r
229,1.0,cobyla,15,0.9944575779601644
230,1.0,rmsprop,16,1.0
231,1.0,cobyla,16,1.0
232,1.0,rmsprop,17,1.0
233,1.0,cobyla,17,0.9410095726964378
234,1.0,rmsprop,18,1.0
235,1.0,cobyla,18,1.0
236,1.0,rmsprop,19,1.0
237,1.0,cobyla,19,1.0
238,1.0,rmsprop,20,0.9800332844325219
239,1.0,cobyla,20,0.8220642631902717
240,1.0,rmsprop,21,1.0
241,1.0,cobyla,21,0.9691581598694498
242,1.0,rmsprop,22,1.0
243,1.0,cobyla,22,1.0
244,1.0,rmsprop,23,1.0
245,1.0,cobyla,23,1.0
246,1.0,rmsprop,24,0.8879453460634321
247,1.0,cobyla,24,0.8657584834804084
248,1.0,rmsprop,25,0.9376044131441656
249,1.0,cobyla,25,0.9376044131441656
250,1.0,rmsprop,26,1.0
251,1.0,cobyla,26,0.8084599544737633
252,1.0,rmsprop,27,1.0
253,1.0,cobyla,27,1.0
254,1.0,rmsprop,28,0.9902316952785133
255,1.0,cobyla,28,0.9902316952785133
256,1.0,rmsprop,29,1.0
257,1.0,cobyla,29,0.8323880851167345
258,1.0,rmsprop,30,1.0
259,1.0,cobyla,30,1.0
260,1.0,rmsprop,31,1.0
261,1.0,cobyla,31,1.0
262,1.0,rmsprop,32,1.0
263,1.0,cobyla,32,1.0
264,1.0,rmsprop,33,1.0
265,1.0,cobyla,33,1.0
266,1.0,rmsprop,34,1.0
267,1.0,cobyla,34,0.8843404249946933
268,1.0,rmsprop,35,1.0
269,1.0,cobyla,35,1.0
270,1.0,rmsprop,36,0.9579377938430107
271,1.0,cobyla,36,0.9579377938430107
272,1.0,rmsprop,37,1.0
273,1.0,cobyla,37,0.9604506732037449
274,1.0,rmsprop,38,1.0
275,1.0,cobyla,38,1.0
276,1.0,rmsprop,39,1.0
277,1.0,cobyla,39,0.8009955465029199
278,1.0,rmsprop,40,0.8872663050465852
279,1.0,cobyla,40,0.8888462899152803
280,1.0,rmsprop,41,1.0
281,1.0,cobyla,41,1.0
282,1.0,rmsprop,42,1.0
283,1.0,cobyla,42,0.8241758333640294
284,1.0,rmsprop,43,1.0
285,1.0,cobyla,43,1.0
286,1.0,rmsprop,44,0.9544158114377614
287,1.0,cobyla,44,0.9079350164593811
288,1.0,rmsprop,45,1.0
289,1.0,cobyla,45,1.0
290,1.0,rmsprop,46,1.0
291,1.0,cobyla,46,1.0
292,1.0,rmsprop,47,1.0
293,1.0,cobyla,47,1.0
294,1.0,rmsprop,48,1.0
295,1.0,cobyla,48,1.0
296,1.0,rmsprop,49,1.0
297,1.0,cobyla,49,1.0
298,1.0,rmsprop,50,0.9914754477280875
299,1.0,cobyla,50,0.937163997984613
300,1.0,rmsprop,51,0.9592569727081335
301,1.0,cobyla,51,0.9592569727081335
302,1.0,rmsprop,52,1.0
303,1.0,cobyla,52,1.0
304,1.0,rmsprop,53,1.0
305,1.0,cobyla,53,1.0
306,1.0,rmsprop,54,1.0
307,1.0,cobyla,54,0.8713239821213816
308,1.0,rmsprop,55,1.0
309,1.0,cobyla,55,0.9118217848092465
310,1.0,rmsprop,56,1.0
311,1.0,cobyla,56,0.8622622833269133
312,1.0,rmsprop,57,1.0
313,1.0,cobyla,57,1.0
314,1.0,rmsprop,58,1.0
315,1.0,cobyla,58,1.0
316,1.0,rmsprop,59,1.0
317,1.0,cobyla,59,0.8835682721694516
318,1.0,rmsprop,60,1.0
319,1.0,cobyla,60,1.0
320,1.0,rmsprop,61,0.9996145529736276
321,1.0,cobyla,61,0.9764550102064625
322,1.0,rmsprop,62,1.0
323,1.0,cobyla,62,0.8551005065011751
324,1.0,rmsprop,63,1.0
325,1.0,cobyla,63,1.0
326,1.0,rmsprop,64,0.9745486180485202
327,1.0,cobyla,64,1.0
328,1.0,rmsprop,65,1.0
329,1.0,cobyla,65,0.8886421441127903
330,1.0,rmsprop,66,1.0
331,1.0,cobyla,66,0.8198203941432002
332,1.0,rmsprop,67,0.9433800787450786
333,1.0,cobyla,67,1.0
