,sigma,optimizer,seed,r
301,0.1,cobyla,71,0.835088367551666
302,0.1,nelder-mead,71,0.8288358054498154
303,0.1,rmsprop,72,1.0
304,0.1,newton-cg,72,1.0
305,0.1,cobyla,72,0.719858428729778
306,0.1,nelder-mead,72,1.0
307,0.1,rmsprop,73,0.8228271386584542
308,0.1,newton-cg,73,0.8339694825226524
309,0.1,cobyla,73,1.0
310,0.1,nelder-mead,73,0.8196339897215115
311,0.1,rmsprop,74,0.5667240696885247
312,0.1,newton-cg,74,1.0
313,0.1,cobyla,74,1.0
314,0.1,nelder-mead,74,0.5667240696885247
315,0.1,rmsprop,75,1.0
316,0.1,newton-cg,75,1.0
317,0.1,cobyla,75,0.8592035656461037
318,0.1,nelder-mead,75,1.0
319,0.1,rmsprop,76,0.8315565550332628
320,0.1,newton-cg,76,0.8315565550332628
321,0.1,cobyla,76,1.0
322,0.1,nelder-mead,76,0.8315565550332628
323,0.1,rmsprop,77,0.5774056494070531
324,0.1,newton-cg,77,0.996275836243338
325,0.1,cobyla,77,1.0
326,0.1,nelder-mead,77,0.5774056494070531
327,0.1,rmsprop,78,0.9943920326385515
328,0.1,newton-cg,78,0.9943920326385515
329,0.1,cobyla,78,1.0
330,0.1,nelder-mead,78,0.9943920326385515
331,0.1,rmsprop,79,0.7054938120931727
332,0.1,newton-cg,79,0.7182102896759738
333,0.1,cobyla,79,1.0
334,0.1,nelder-mead,79,0.7054938120931727
335,0.1,rmsprop,80,1.0
336,0.1,newton-cg,80,0.8339041266210157
337,0.1,cobyla,80,0.8350354108246443
338,0.1,nelder-mead,80,1.0
339,0.1,rmsprop,81,0.8644815534955855
340,0.1,newton-cg,81,0.8644815534955855
341,0.1,cobyla,81,1.0
342,0.1,nelder-mead,81,0.8644815534955855
343,0.1,rmsprop,82,0.5703705738228201
344,0.1,newton-cg,82,0.5703705738228201
345,0.1,cobyla,82,1.0
346,0.1,nelder-mead,82,0.7172062850372527
347,0.1,rmsprop,83,0.7127085491965267
348,0.1,newton-cg,83,0.9964590598470191
349,0.1,cobyla,83,0.9956147624020028
350,0.1,nelder-mead,83,0.7127085491965267
351,0.1,rmsprop,84,0.8386064688910964
352,0.1,newton-cg,84,1.0
353,0.1,cobyla,84,1.0
354,0.1,nelder-mead,84,0.8386064688910964
355,0.1,rmsprop,85,0.9918717197178112
356,0.1,newton-cg,85,0.9918717197178112
357,0.1,cobyla,85,1.0
358,0.1,nelder-mead,85,0.9918717197178112
359,0.1,rmsprop,86,0.9916491023392457
360,0.1,newton-cg,86,0.9916491023392457
361,0.1,cobyla,86,0.7186241787138375
362,0.1,nelder-mead,86,0.8550055587301232
363,0.1,rmsprop,87,1.0
364,0.1,newton-cg,87,1.0
365,0.1,cobyla,87,1.0
366,0.1,nelder-mead,87,1.0
367,0.1,rmsprop,88,0.4198944674562262
368,0.1,newton-cg,88,0.7119790692554084
369,0.1,cobyla,88,1.0
370,0.1,nelder-mead,88,0.4198944674562262
371,0.1,rmsprop,89,0.42896143089480826
372,0.1,newton-cg,89,0.42896143089480826
373,0.1,cobyla,89,0.720036047595886
374,0.1,nelder-mead,89,0.42896143089480826
375,0.1,rmsprop,90,1.0
376,0.1,newton-cg,90,1.0
377,0.1,cobyla,90,1.0
378,0.1,nelder-mead,90,0.7154259646366022
379,0.1,rmsprop,91,0.42561828375929645
380,0.1,newton-cg,91,0.7081036263095047
381,0.1,cobyla,91,1.0
382,0.1,nelder-mead,91,0.5683940169128928
383,0.1,rmsprop,92,1.0
384,0.1,newton-cg,92,0.7097161931337866
385,0.1,cobyla,92,1.0
386,0.1,nelder-mead,92,1.0
387,0.1,rmsprop,93,0.42448891463447025
388,0.1,newton-cg,93,0.8540507724367568
389,0.1,cobyla,93,1.0
390,0.1,nelder-mead,93,0.42448891463447025
391,0.1,rmsprop,94,0.4286123498955322
392,0.1,newton-cg,94,1.0
393,0.1,cobyla,94,1.0
394,0.1,nelder-mead,94,0.4292589842338988
395,0.1,rmsprop,95,0.4281256749891142
396,0.1,newton-cg,95,1.0
397,0.1,cobyla,95,1.0
398,0.1,nelder-mead,95,0.42556030624095326
399,0.1,rmsprop,96,0.4283626437287948
400,0.1,newton-cg,96,0.4283626437287948
401,0.1,cobyla,96,1.0
402,0.1,nelder-mead,96,0.4283626437287948
403,0.1,rmsprop,97,1.0
404,0.1,newton-cg,97,1.0
405,0.1,cobyla,97,1.0
406,0.1,nelder-mead,97,1.0
407,0.1,rmsprop,98,0.9885703146748958
408,0.1,newton-cg,98,0.9864024657656715
409,0.1,cobyla,98,1.0
410,0.1,nelder-mead,98,0.9885703146748958
411,0.1,rmsprop,99,0.8325618406924489
412,0.1,newton-cg,99,0.8325618406924489
413,0.1,cobyla,99,1.0
414,0.1,nelder-mead,99,0.8325618406924489
415,0.1,rmsprop,100,0.7040188019530412
416,0.1,newton-cg,100,0.7040188019530412
417,0.1,cobyla,100,1.0
418,0.1,nelder-mead,100,0.7040188019530412
419,1.0,rmsprop,1,0.7540215584815295
420,1.0,newton-cg,1,0.8427233479899828
421,1.0,cobyla,1,1.0
422,1.0,nelder-mead,1,1.0
423,1.0,rmsprop,2,0.6876444183314963
424,1.0,newton-cg,2,0.8119426866405441
425,1.0,cobyla,2,1.0
426,1.0,nelder-mead,2,0.6876444183314963
427,1.0,rmsprop,3,0.6958320729618861
428,1.0,newton-cg,3,1.0
429,1.0,cobyla,3,0.967284616931105
430,1.0,nelder-mead,3,0.7843415929925809
431,1.0,rmsprop,4,0.6159037931490519
432,1.0,newton-cg,4,0.7205058748873413
433,1.0,cobyla,4,0.9030818173473832
434,1.0,nelder-mead,4,0.6159037931490519
435,1.0,rmsprop,5,0.6626182349052668
436,1.0,newton-cg,5,0.8480984234777529
437,1.0,cobyla,5,0.7486080242163499
438,1.0,nelder-mead,5,0.758547692265336
439,1.0,rmsprop,6,1.0
440,1.0,newton-cg,6,0.8623922499104787
441,1.0,cobyla,6,0.8623922499104787
442,1.0,nelder-mead,6,0.7898685267103974
443,1.0,rmsprop,7,1.0
444,1.0,newton-cg,7,0.7313339217798897
445,1.0,cobyla,7,1.0
446,1.0,nelder-mead,7,0.8632781171349391
447,1.0,rmsprop,8,0.7185462594216893
448,1.0,newton-cg,8,0.6298891206948378
449,1.0,cobyla,8,0.8352064789001526
450,1.0,nelder-mead,8,0.8860136211256943
451,1.0,rmsprop,9,0.8249303912733635
